Gegenstand;zugewiesene Gruppen;Brutto Betrag;Dokument;Kostenstellen;Kreditorname;Kreditornr.;Mandantenname;Mandantennr.;Netto Betrag;Prozessinstanz;Rechnungsdatum;Standort;Externe Belegnr.;Belegart;Empfangsdatum;Link zur Aufgabe;
Buchen;EAV_Buchhaltung;540,90;IL00009303;302400;Volvo Group Belgium nv;700008200;Ferronordic GmbH;10002;540,90;Shops;26.10.2020;Frankfurt;ITE20049852;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/47745?task_form_url_id=6cd2c4fa0a1523ec2479e023302bd7cb;
Buchen;EAV_Buchhaltung;200,00;IL00009507;302400;Volvo Group Belgium nv;700008200;Ferronordic GmbH;10002;200,00;Shops;09.11.2020;Frankfurt;IZE2036918;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/47906?task_form_url_id=9bec6b20791ac00634abe48ae3467f62;
Buchen;EAV_Buchhaltung;100,00;IL00009741;302400;Volvo Group Belgium nv;700008200;Ferronordic GmbH;10002;100,00;Shops;09.11.2020;Frankfurt;ITE2036923;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48196?task_form_url_id=9ae3f0eb353a64d393e378ed44322a5f;
Buchen;EAV_Buchhaltung;524,87;IL00009754;302400;Volvo Group Belgium nv;700008200;Ferronordic GmbH;10002;524,87;Shops;06.11.2020;Frankfurt;ITE20052143;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48191?task_form_url_id=7998408242f80b5ee3556bc191e90419;
Rechnungsprüfung < 2.000 ?;EAV_Shops_Frankfurt_Stufe1;590,99;IL00009672;212400;Renault Trucks SAS USt.ID Belgien;700018100;Ferronordic GmbH;10002;590,99;Shops;06.11.2020;Frankfurt;5026575303;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48135?task_form_url_id=4b269b11f5c9e7f4569c8a51368b5c47;
Freigabe abgelehnt;EAV_Buchhaltung;169,30;IL00008962;304000;Volvo Group Trucks Central Europe GmbH;700011800;Ferronordic GmbH;10002;145,95;Shops;31.10.2020;Dresden;6638489;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/47448?task_form_url_id=c8377791d394527924f97f29dd10959f;
KST Belegung;EAV_Buchhaltung;-98,54;IL00009773;300100;Volvo Group Trucks Central Europe GmbH;700011800;Ferronordic GmbH;10002;-84,95;Shops;14.11.2020;Dessau;6704575;Credit Note;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48224?task_form_url_id=23417483ef5314fe85541691bf011e0d;
Rechnungsprüfung < 2.000 ?;EAV_Verwaltung_Stufe1;89,20;IL00010199;907000;coffee perfect GmbH;700097300;Ferronordic GmbH;10002;76,90;Verwaltung;31.10.2020;Dessau;SVRG20+180540;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48483?task_form_url_id=d2030a2cd643c5f16c97251cfca3511f;
Rechnungsprüfung < 2.000 ?;EAV_Verwaltung_Stufe1;8,92;IL00010200;907000;coffee perfect GmbH;700097300;Ferronordic GmbH;10002;7,69;Verwaltung;30.09.2020;Dessau;SVRG20+155067;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/48484?task_form_url_id=9dd4c733c60726cc30b7303474b87e79;
KST Belegung;EAV_Buchhaltung;140197,60;IL00011262;907000;Volvo Truck Corporation;700012400;Ferronordic GmbH;10002;120860,00;Verwaltung;20.11.2020;Dessau;3304244;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49278?task_form_url_id=e52cd14de35f392112f72d6575e2a491;
KST Belegung;EAV_Buchhaltung;283,50;IL00011263;907000;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;244,40;Verwaltung;19.11.2020;Dessau;20502214;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49277?task_form_url_id=c413b83dc74c4a707bf6a6f7d74e5e47;
KST Belegung;EAV_Buchhaltung;0,00;IL00011245;907000;Christian Winkler GmbH & Co. KG;700003200;Ferronordic GmbH;10002;0,00;Verwaltung;19.11.2020;Dessau;20502214;Invoice;2020-11-20;https://ferronordic.d-velop.cloud/smartinvoice/workflows/49295?task_form_url_id=ae50814a6a28378c7cc40079886ca948;
